Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta,beta_std_err,n_obs
Africa,5100,Lemons and limes,497,2023,137341.0,2077786.53,15128.7,0.21010727628474657,0.10240226282090402,62
Africa,5100,"Lentils, dry",201,2023,132328.0,137661.16,1040.3,0.29182293987193647,0.05851681690272254,62
Africa,5100,Lettuce and chicory,372,2023,30762.0,629241.51,20455.1,0.8528859223627843,0.09889881542615404,62
Africa,5100,Linseed,333,2023,90636.0,93339.95,1029.8,0.7906521437751798,0.06151120897858092,62
Africa,5100,Locust beans (carobs),461,2023,11535.0,26333.52,2283.0,0.6340306158897754,0.2671746133171079,62
Africa,5100,Lupins,210,2023,102777.0,74013.15,720.1,0.6341062664702449,0.07705760541643233,62
Africa,5100,Maize (corn),56,2023,44089585.0,95004474.74,2154.8,0.09659658550596724,0.03305786237465799,62
Africa,5100,"Mangoes, guavas and mangosteens",571,2023,1233747.0,9846394.63,7980.9,0.4012619705337294,0.07664498507795255,62
Africa,5100,Melonseed,299,2023,1765815.0,914956.73,518.1,1.1360726013355489,0.15997312817956216,62
Africa,5100,Millet,79,2023,19687673.0,13130356.97,666.9,0.2937133842202907,0.057044614588200454,62
Africa,5100,Mustard seed,292,2023,4387.0,2736.04,623.6,0.9413730897589784,0.006070609166915189,29
Africa,5100,Natural rubber in primary forms,836,2023,1556323.0,1986516.59,1276.4,0.721787197353956,0.08729081508280036,62
Africa,5100,"Nutmeg, mace, cardamoms, raw",702,2023,2397.0,1166.05,486.5,0.32970979267283185,0.037251087408078136,62
Africa,5100,Oats,75,2023,154759.0,207594.98,1341.4,0.4639875156606768,0.05109958140850648,62
Africa,5100,Oil palm fruit,254,2023,6478387.0,25916824.39,4000.5,1.1162391311433963,0.08744351711027779,62
Africa,5100,"Oilcrops, Cake Equivalent",1841,2023,48188508.0,18969499.51,393.7,0.2659564338482161,0.07266131110200816,62
Africa,5100,"Oilcrops, Oil Equivalent",1732,2023,53145634.0,17164362.06,323.0,0.3470008925908903,0.09141143458600984,62
Africa,5100,Okra,430,2023,2315679.0,3568607.56,1541.1,0.07159562167494166,0.13177533912976974,62
Africa,5100,Olives,260,2023,3960715.0,4208996.65,1062.7,0.39751685878388326,0.07839050330320815,62
Africa,5100,"Onions and shallots, dry (excluding dehydrated)",403,2023,1281979.0,15423823.82,12031.3,1.0531525411285867,0.17741072850850523,62
Africa,5100,"Onions and shallots, green",402,2023,90979.0,2078964.94,22851.1,0.20883627200494043,0.05735570090037015,62
Africa,5100,Oranges,490,2023,537177.0,10608631.18,19748.9,0.2489357721047649,0.11956986113805006,62
