Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta_1965,beta_1966,beta_1967,beta_1968,beta_1969,beta_1970,beta_1971,beta_1972,beta_1973,beta_1974,beta_1975,beta_1976,beta_1977,beta_1978,beta_1979,beta_1980,beta_1981,beta_1982,beta_1983,beta_1984,beta_1985,beta_1986,beta_1987,beta_1988,beta_1989,beta_1990,beta_1991,beta_1992,beta_1993,beta_1994,beta_1995,beta_1996,beta_1997,beta_1998,beta_1999,beta_2000,beta_2001,beta_2002,beta_2003,beta_2004,beta_2005,beta_2006,beta_2007,beta_2008,beta_2009,beta_2010,beta_2011,beta_2012,beta_2013,beta_2014,beta_2015,beta_2016,beta_2017,beta_2018,beta_2019,beta_2020,beta_2021,beta_2022,beta_2023
United Republic of Tanzania,215,"Other citrus fruit, n.e.c.",512,2023,14121.0,47777.72,3383.4,0.19643190632877458,0.4075251836894931,0.44392453841939916,0.26485379867074205,0.3256085780694216,0.24549063348502786,0.04930549829984009,0.8454051218884228,-0.37872066369054536,0.5154243503287772,3.202028770629688,0.622187624405736,0.7935784801386893,1.164418786435479,0.9879355690191525,1.0658172953367848,0.0,0.0,0.0,-0.3562182100976734,-0.7368107706163216,-0.8075082154508905,-0.9000226084210042,0.0,0.0,-10.896772023441802,67.16361786308805,-0.2153078462003417,-0.03321705168703374,0.010942518257960039,1.006106942302381,0.958114911993988,1.4676062790066087,1.3634733361190974,1.4261653969103638,1.4846288843991082,0.6801126717880559,0.9335456147427151,1.0616786488679415,1.1382938817921875,0.8071519588341828,0.8761109816173205,0.9834647685078554,1.195344556700286,1.0377654490010784,2.6119793358660455,2.497840456247695,0.8177800307405515,2.89656231138551,2.010889062573031,3.1345972265712314,3.4629806973845922,16.72694168353908,43.73902193335279,-5.00842610409076,-12.517433748470538,-0.06881798672436294,-3.923201784816853,-0.002558868595842118
United Republic of Tanzania,215,"Other fibre crops, raw, n.e.c.",821,2023,1628.0,8117.93,4986.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8921804608909705,3.2992752349923165,4.1487823667750545,4.185832353783753,3.7468069016756136,3.3312199640179747,0.0,0.0,0.42421835746353076,0.3679990352390347,1.3342930714287669,1.2850340288477506,1.5355584933457986,1.6634629051390644,2.170516821124849,-5.320500445078348,-5.364075930661,0.3358402500912193,0.4963826622180768,0.0,0.38895728326853746,0.1392956228651767,0.1921730128811666,0.9967044167243018,0.0,0.8306548261122337,0.969145741894328,0.9990465372805211
United Republic of Tanzania,215,"Other fruits, n.e.c.",619,2023,31957.0,202709.23,6343.2,0.9999999999995769,1.0000000000001412,1.00000000000017,0.9999999999999313,0.9999999999998731,7.855492653126173,3.4582532517086375,5.818612105662644,-5.589320508845958,6.45626869888068,-6.1964763676487555,-2.428708039147308,-0.31926929866813153,0.5629593230761211,0.44139100277356147,0.40849892352261363,0.6512665263910308,1.8861004582902212,1.8369919209792323,-0.9691583169689606,-13.53316502231178,13.240526647573123,41.79968890315024,0.0,0.0,-93.79131780728613,72.32221492056792,0.5882670058033206,0.8065546482797534,0.4445724414775638,1.0062469647034904,1.0709250728466857,0.9210795026315995,0.7821406711238096,0.7882791361960096,0.7484053669555899,0.3411226353563836,0.7025426521687578,0.7113992347060046,0.7112304424615497,0.7185821654640008,0.6656205553485851,1.029840080825933,1.2640273116218221,3.5311144962385455,2.524029707842706,2.6041992725794287,2.647158520486909,2.6687588920928293,3.0918687143453223,4.982278547770651,5.964042424473434,5.294778903909274,2.519392538405393,1.6152174851115586,1.5572056957370968,0.8591585665253798,0.7364255472113347,0.8142018830259768
United Republic of Tanzania,215,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",234,2023,6302.0,29557.07,4689.8,0.38224103965135625,0.1653573470770496,0.16818694350709318,0.1706894055203131,0.17292829090161177,0.5311216614561737,0.5392450861020649,8.361770264263395,3.339384102198385,-2.449053550548216,-9.054914529010109,0.5980398555627477,9.973131421832244,0.5484541677326813,0.5271906519752636,0.2664542624328104,0.5416039399615066,7.688840040741092,0.5938225119061596,0.6126944508497825,0.5259792553110189,0.5457593543674071,4.436336548847826,14.571652150222516,0.0,-0.371942571193718,-0.3233250392080955,0.04744279386053517,0.16715865182707035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024296790845190448,-0.04089180138400393,-0.016131526674398034,0.022478525892731298,0.06800760903600661,0.12133694700980989,0.15165698411111986,-0.03154556406839315,-0.4313008311355948,-1.4538612047621071
United Republic of Tanzania,215,"Other oil seeds, n.e.c.",339,2023,43306.0,48949.58,1130.3,,,,,,,,,,,1.0000000000000187,1.0000000000000104,1.000000000000009,1.0000000000000089,0.7752801841830707,0.6290889682474554,0.4899973313402513,0.6140591910256866,0.7156333888112164,1.0,1.0,1.0,1.0,1.110290781029147,4.339011035765551,1.2195918130828864,2.5514083730102,1.2141883366359925,1.3449879193159164,1.0298384810270484,0.9511457449892824,0.8557587405397206,0.8140254071341463,0.6905571950525865,1.0537432913409233,1.9205133905179288,-0.0760802026836936,-1.7805651180232998,-1.2288696890391275,-5.192571586859681,3.7544841797507758,1.2406124961906795,1.162389105558924,1.1186509449287851,0.9356805144805852,0.5245818884843182,0.5037880976531128,-1.3949677652138208,-0.006971170352999352,-0.23423886272218428,0.4810689250659974,0.6211489506832728,0.5972416057997461,0.5991471215959087,0.39065953250861835,-0.49825857062114587,-1.0730145807393245,-0.9760953581818766,-0.7551858540352957
United Republic of Tanzania,215,Other pulses n.e.c.,211,2023,45488.0,47844.08,1051.8,1.0136868911458121,1.0131036886103797,1.0612213401837938,0.9578576003477611,1.2282117918322482,1.104996018524537,1.103766126877327,1.03350441726462,1.032984733841627,0.4966750364106298,0.46024433336652815,0.24909573458723716,0.22626698617680502,0.5900413682797339,0.5900413682797339,1.0609137273421678,1.0609137273421678,0.9958965428043187,1.00077887542669,1.004561939248615,0.9129965230667938,0.9849329535854285,0.8964172262262698,0.8721686053710895,0.868160742860509,0.7532951510562443,0.5060016029576978,0.644272973786743,0.6857443252813841,0.7740504798332473,0.510735955500827,0.5202905025441404,0.5446443491752848,0.3042477491624726,0.7662145566249644,1.1116341845756812,0.9775642219888383,0.9793865354136337,0.9078163862653529,0.9037311354704578,0.8983159523033067,0.929788525027836,0.9271026817531606,0.9180575762784722,0.754285778190261,0.8766830601554557,-0.19489324573220543,0.07517689948299344,0.17913278103258898,0.26873601213733594,0.5936923827860421,0.7972952513057705,1.1853482403307931,1.0509489281603321,1.0615460987807421,1.1430719316901936,1.143312676246083,1.1087779559100368,1.1107317435698114
United Republic of Tanzania,215,"Other tropical fruits, n.e.c.",603,2023,19898.0,50840.86,2555.1,1.3521939682007265,1.3521939682007265,1.1571240351004521,0.8162656303351956,0.9762121383951521,0.9762121383951521,1.094977343063706,0.9917810940249644,0.0,-0.6382587870169887,-0.7149813691174914,-1.3315505363087838,-1.6657733179306315,-5.236066088887409,25.211900859663253,8.468595742908667,-21.503541850113045,-9.892845729033601,10.82829361200611,34.453210202793144,0.02426466073490166,0.02332852116299243,0.1908567947477606,19.291375662017042,14.772545495360577,-13.844143459859254,-4.590439797523886,0.8335123916643215,0.7855107856215771,0.8117894106598088,0.8286231339857316,0.37612364132759074,0.7678053537856813,0.5430361074259586,0.4636694772279087,0.6397695882558035,0.7344301828158919,0.7148587340348479,0.646263998803821,0.07426556910635966,0.30007243301504444,0.4314487612345324,1.014298926912876,1.1753172251290847,3.017072095665521,3.385363923433437,5.061943113296326,7.459455966460602,7.4347030313984614,8.670783205580504,5.730625608775748,0.014300819299668397,-0.2252463024064783,-0.15787305700566093,0.9900730551047884,1.2587292934377934,1.0313061547737128,0.9966710331299861,0.9310093641444123
United Republic of Tanzania,215,"Other vegetables, fresh n.e.c.",463,2023,332669.0,1938663.91,5827.6,1.0513127301077883,1.0279802910986569,1.0166951211499742,1.0179349410128846,1.0187322184656737,1.0135456251864559,0.9953435396389063,0.9409064322274828,1.2342734269389313,0.41924863208757807,-0.21750570036353492,1.0588772385726726,1.3295564189926963,0.300109605033579,0.5102386944188798,0.47714078585787856,0.7070968616689698,1.108237590283683,0.8665870016623701,-155.24784590954647,-91.27162493295123,55.43797738854905,202.73625240688773,118.21405654237707,62.65031797248525,-418.19471636057307,307.97421497611685,0.1836979557054692,0.3134196203021771,0.07890365535969322,0.42745546313543054,0.4286375534374844,0.6653999807241948,0.808624945830701,0.7040629892964092,1.3114703606156874,-0.5635233286207023,6.564418427687427,-1.2101014479784697,-1.497014084187175,1.2006119050147945,0.8360899334060872,0.9752553739986469,1.1629236129794396,1.0919180239543866,7.634767394521038,-1.8151088545360718,3.035003772705998,1.2002391968209944,-1.378042145944709,0.588326268743497,1.3877060046970389,1.415483813530917,1.2935854027063345,1.4614563433002719,1.4490195252590619,1.4779521752627518,1.4821879279561503,1.6272182790665919
United Republic of Tanzania,215,Pears,521,2023,687.0,5196.27,7568.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9464805278073203,0.978350673864191,0.9976019535830126,0.9975191396115294,0.9427802671089872,0.9435201887678201,0.7770110987724628,0.23532280085043492,0.36084612737817606,-1.0180834041601403,0.8454153770710955,0.2571212117136442,0.6374562289546742,1.3502631544008237,1.0466611081856256,0.07497877512022146,-0.471159064442898,0.7350738311048445,0.5645049973118443,0.5424084776335016,0.5957211305309156,0.28846184131556285,-0.2374263189082283,-0.5679021973922864,-0.9186777288729602
United Republic of Tanzania,215,"Peas, dry",187,2023,48608.0,29903.09,615.2,-0.17747280505807422,-0.6387293193655451,-0.4891443131091477,-0.43740015388589903,-0.3789245271085484,0.22632563677884257,0.18194537918199521,0.1568442871184908,0.1381292759994977,0.09631149400697483,0.09215369888341268,-0.6382303847094588,1.2962246210473396,0.4281166523872971,0.5084167521815032,0.5187540846728979,0.3275800714472183,0.9112157109689868,0.8299022028731259,1.0806187951883466,1.2442546623636013,1.0107079214610777,0.9712167009589633,0.870066152196524,0.8591266771592881,0.7141919777915239,0.6397208875902062,0.7552836254033706,0.8400888519843082,0.895581738698575,0.76682839160209,0.7473496513708884,0.680777648523037,0.6374176463595198,0.6833628685817178,0.6075067771206036,0.28171378128734037,0.33442318108457686,0.964736915907948,0.43773199515310707,0.7482633829962444,1.1301685269275752,1.1204200455256008,1.0372671486460094,0.7302058324632149,0.8778484325522549,0.7005360124114112,0.4026463878966495,0.4461062110585909,0.3107275661973971,0.6207148988814138,0.7574970524083869,1.2554117349475504,0.9600379912723711,0.9818422692302107,0.9904004515241085,1.015257356467266,0.9922970087224791,1.0045610975400758
United Republic of Tanzania,215,"Peas, green",417,2023,5401.0,9589.99,1775.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9223353660980652,0.7981959715238552,0.8768045886618732,1.006603345080251,1.0271047154758863,1.026667338329168,0.7950988263832176,2.3025028216833943,1.4327681393771234,3.395727780117637,0.2480013122291965,0.4822658695280188,1.952046234600552,1.3438402864786116,1.3301850628688867,1.3867261206829937,1.01717056141292,1.3770789468725395,0.6900302549110948,1.0343209102464055,1.3572335560239328,0.6610108662120265,0.9242556821664906,1.2796232324795436
United Republic of Tanzania,215,"Pepper (Piper spp.), raw",687,2023,978.0,438.13,447.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0006267357466383,0.9117891593734565,1.0658779947370403,1.1521919495521036,1.27901075601583,1.575042756816292,0.04089673323335415,0.04601061575209978,0.3423750619968317,0.503116815331831,0.9010404197322297,1.3619182330662054,1.7789186733745748,1.9219526992454643,1.248127498524461,1.0104185808816681,1.0092386681830194,0.9907979977327563,1.0562782065106133,0.30711826710300316,-0.9592730633469801,2.290221962306157,0.26244853420521724
United Republic of Tanzania,215,"Pigeon peas, dry",197,2023,241782.0,276650.61,1144.2,0.9259639265937585,0.9213011121150427,0.8873870835670956,0.8586425063399004,0.7641908304312116,0.9433475170211356,0.9686162465013329,1.1762548235276629,1.0960253384070642,0.6455873932147007,0.7843293373194233,0.9288348188669657,0.8230450513180815,1.051963737478428,1.0176117666213997,1.0274266354201482,1.0000991898509444,1.0001776472855266,1.000676344614589,0.9999485270750539,0.9999536900480471,0.9999578936519776,0.9999613861452208,0.9992627382620225,0.9996951241037738,1.0003221358657557,1.0011778732193568,1.0014169549816712,1.0004938156070897,0.9992683721790313,0.9965631401945648,0.9995695504615512,1.0004966083780247,1.0016475615812683,0.9999725049340308,0.9999735922754834,0.9999745965713658,0.9983859756533185,0.9994095165797394,11.612303556810385,0.6573519852845991,0.6690628497258145,0.841776203918156,0.9556741979891956,0.39464302524230277,1.6187886284215567,1.215837609867132,0.8354436953751604,0.7820469841921555,0.745683385333197,0.4436681349817703,0.7995601226230042,1.2383203051471112,1.1465998566929292,1.1901641587374083,1.0675906790257073,1.0655748908849094,0.990633088287704,1.0036716822269032
United Republic of Tanzania,215,Pineapples,574,2023,18136.0,443910.5,24477.2,1.3073428887232978,2.2331014188284746,2.464285915603358,1.8201171960565317,0.0,-1.2682665231646078,-1.5903181416046326,-1.7574476274426316,-3.0831573748287013,-7.9450551236553775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.699106020400478,0.5812773150584544,0.9409690777748405,0.23049413748928949,0.28329922701360044,0.2925097103752788,0.3144090019066696,-0.6324019450414972,2.2352172945968607,0.6397223168464712,0.7869862251034366,-1.8077699544247998,0.8163881017318493,1.1620895798745978,1.0283700509703666,1.048972700078544,1.1461138449863424,1.127426701152622,3.518073416405174,1.599245381835096,0.06142576317124179,0.13780966013127272,0.17937736671074136,-0.6396371267180768,-0.968827573708741,-0.8233597066869779,0.5658845184155203,0.5287209956505229,0.3285250213003576,0.0007501967609247952,0.14589881999968116,0.8491683118897432,1.8423588673793643,1.1277606769121338,-0.8050760067626381,-15.680523361347873,0.9409122251871032,0.38622866707678377,0.7146338320906139,1.1305463661093196,0.9091675551855911
United Republic of Tanzania,215,Plantains and cooking bananas,489,2023,317834.0,580653.62,1826.9,1.0660230448426409,0.9954727328294545,0.9995041795201751,0.999626518715083,0.9959330267068712,0.9992981014159455,1.0000763657725467,0.9994915465389936,1.0047365155667367,0.9988615462934923,0.9892564701451965,0.9934164149501831,0.9894051015170365,0.9880907288471419,0.9882769578703775,1.0107022180403806,0.9636008767759807,1.1497487884006745,1.45398987189004,1.4687510870529485,1.4391363596097322,1.2374674065325937,1.0544654076566138,1.0056887077290138,0.9942219671800467,0.987838575987127,0.9964626451767712,1.0121414445633108,1.0146441176644303,1.0888100048696814,1.0889587694912273,1.03842367236509,1.052149599164605,0.9714717053597859,1.1756130515248084,0.963935623122093,1.0238410331887102,1.8291596197465958,1.2588856398622077,1.7288872799329678,0.8509405743506724,1.0123563633470605,-0.007457938657173526,0.9433139311976939,1.0118174732889031,1.0160538351150321,0.904832723370758,-55.95553315425691,-57.13168292390844,2.203439413209114,2.010726722261334,1.9964565001472625,1.5690894709887893,-7.312791153796088,-3.760901574439903,-35.541794949524565,-40.56198606362973,-12.734386647650458,-11.8656894799119
United Republic of Tanzania,215,Plums and sloes,536,2023,624.0,4114.06,6595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9645199460564012,2.5120137134997975,-0.07043859235569902,-0.5523331943340031,-1.1644064053559606,-0.8044719347804868,1.3679783737138753,0.5587344630356754,0.19268180695532047,0.24797188142897236,0.0463359890672845,0.3447243939658492,0.23438655635148814,-0.5489273901460188,0.23726052280115853,1.2459304259640434,1.3776127069732016,1.3725460553768107,1.3010340460537761,0.9610862204936421,0.44635746901629647,0.4501006814294965,0.43649651635975273
